AccSpeciesName,TraitID,TraitName,OriglName,OrigValueStr,OrigUncertaintyStr,StdValue,UnitName,ErrorRisk,Reference,Comment
Liquidambar styraciflua,603,Species tolerance to shade,Shade tolerance,1.59,0.14,NA,NA,NA,"Niinemets, U. and F. Valladares. 2006. Tolerance to shade, drought, and waterlogging of temperate Northern Hemisphere trees and shrubs. Ecological Monographs 76:521-547.","species aggregated ranking, tolerance scale range from 0 (no tolerance) to 5 (maximal tolerance) Light range: 1, .50%; 2, 25–50%; 3, 10–25%; 4, 5–10%; 5, 2–5%."
Quercus laurifolia,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",SLA,121.13208,NA,12.11321,mm2 mg-1,0.8813,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Nyssa sylvatica,603,Species tolerance to shade,Shade tolerance,3.52,0.28,NA,NA,NA,"Niinemets, U. and F. Valladares. 2006. Tolerance to shade, drought, and waterlogging of temperate Northern Hemisphere trees and shrubs. Ecological Monographs 76:521-547.","species aggregated ranking, tolerance scale range from 0 (no tolerance) to 5 (maximal tolerance) Light range: 1, .50%; 2, 25–50%; 3, 10–25%; 4, 5–10%; 5, 2–5%."
Quercus laurifolia,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",SLA,105.60448,NA,10.56045,mm2 mg-1,0.9158,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Quercus laurifolia,603,Species tolerance to shade,Shade tolerance,3.34,0.34,NA,NA,NA,"Niinemets, U. and F. Valladares. 2006. Tolerance to shade, drought, and waterlogging of temperate Northern Hemisphere trees and shrubs. Ecological Monographs 76:521-547.","species aggregated ranking, tolerance scale range from 0 (no tolerance) to 5 (maximal tolerance) Light range: 1, .50%; 2, 25–50%; 3, 10–25%; 4, 5–10%; 5, 2–5%."
Quercus laurifolia,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",SLA,111.80556,NA,11.18056,mm2 mg-1,0.68,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Quercus lyrata,603,Species tolerance to shade,Shade tolerance,2.97,0.03,NA,NA,NA,"Niinemets, U. and F. Valladares. 2006. Tolerance to shade, drought, and waterlogging of temperate Northern Hemisphere trees and shrubs. Ecological Monographs 76:521-547.","species aggregated ranking, tolerance scale range from 0 (no tolerance) to 5 (maximal tolerance) Light range: 1, .50%; 2, 25–50%; 3, 10–25%; 4, 5–10%; 5, 2–5%."
Quercus laurifolia,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",SLA,107.45342,NA,10.74534,mm2 mg-1,0.8441,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Quercus nigra,603,Species tolerance to shade,Shade tolerance,2.24,0.76,NA,NA,NA,"Niinemets, U. and F. Valladares. 2006. Tolerance to shade, drought, and waterlogging of temperate Northern Hemisphere trees and shrubs. Ecological Monographs 76:521-547.","species aggregated ranking, tolerance scale range from 0 (no tolerance) to 5 (maximal tolerance) Light range: 1, .50%; 2, 25–50%; 3, 10–25%; 4, 5–10%; 5, 2–5%."
Quercus laurifolia,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",SLA,94.24614,NA,9.42461,mm2 mg-1,1.3862,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Quercus phellos,603,Species tolerance to shade,Shade tolerance,2,NA,NA,NA,NA,"Niinemets, U. and F. Valladares. 2006. Tolerance to shade, drought, and waterlogging of temperate Northern Hemisphere trees and shrubs. Ecological Monographs 76:521-547.","species aggregated ranking, tolerance scale range from 0 (no tolerance) to 5 (maximal tolerance) Light range: 1, .50%; 2, 25–50%; 3, 10–25%; 4, 5–10%; 5, 2–5%."
Quercus laurifolia,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",SLA,105.23114,NA,10.52311,mm2 mg-1,0.9305,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Quercus michauxii,603,Species tolerance to shade,Shade tolerance,2.85,0.18,NA,NA,NA,"Niinemets, U. and F. Valladares. 2006. Tolerance to shade, drought, and waterlogging of temperate Northern Hemisphere trees and shrubs. Ecological Monographs 76:521-547.","species aggregated ranking, tolerance scale range from 0 (no tolerance) to 5 (maximal tolerance) Light range: 1, .50%; 2, 25–50%; 3, 10–25%; 4, 5–10%; 5, 2–5%."
Quercus laurifolia,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",SLA,114.17379,NA,11.41738,mm2 mg-1,0.6859,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Ulmus alata,603,Species tolerance to shade,Shade tolerance,3.03,0.08,NA,NA,NA,"Niinemets, U. and F. Valladares. 2006. Tolerance to shade, drought, and waterlogging of temperate Northern Hemisphere trees and shrubs. Ecological Monographs 76:521-547.","species aggregated ranking, tolerance scale range from 0 (no tolerance) to 5 (maximal tolerance) Light range: 1, .50%; 2, 25–50%; 3, 10–25%; 4, 5–10%; 5, 2–5%."
Quercus laurifolia,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",SLA,159.03156,NA,15.90316,mm2 mg-1,1.7802,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Ulmus americana,603,Species tolerance to shade,Shade tolerance,3.14,0.12,NA,NA,NA,"Niinemets, U. and F. Valladares. 2006. Tolerance to shade, drought, and waterlogging of temperate Northern Hemisphere trees and shrubs. Ecological Monographs 76:521-547.","species aggregated ranking, tolerance scale range from 0 (no tolerance) to 5 (maximal tolerance) Light range: 1, .50%; 2, 25–50%; 3, 10–25%; 4, 5–10%; 5, 2–5%."
Quercus laurifolia,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",SLA,161.07872,NA,16.10787,mm2 mg-1,1.8225,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Quercus laurifolia,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",SLA,152.75298,NA,15.2753,mm2 mg-1,1.6472,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Quercus laurifolia,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",SLA,166.18834,NA,16.61883,mm2 mg-1,1.9256,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Quercus laurifolia,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",SLA,165.83578,NA,16.58358,mm2 mg-1,1.9186,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Quercus laurifolia,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",SLA,147.9878,NA,14.79878,mm2 mg-1,1.5426,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Quercus laurifolia,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",SLA,122.43562,NA,12.24356,mm2 mg-1,0.9166,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Quercus laurifolia,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",SLA,133.67698,NA,13.3677,mm2 mg-1,1.2067,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Quercus laurifolia,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",SLA,137.47204,NA,13.7472,mm2 mg-1,1.2992,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Quercus laurifolia,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",SLA,133.85049,NA,13.38505,mm2 mg-1,1.211,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Quercus laurifolia,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",SLA,157.63945,NA,15.76395,mm2 mg-1,1.7512,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Quercus laurifolia,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",SLA,145.48982,NA,14.54898,mm2 mg-1,1.4863,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Quercus laurifolia,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",SLA,122.5,NA,12.25,mm2 mg-1,0.9166,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Quercus laurifolia,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",SLA,144.93488,NA,14.49349,mm2 mg-1,1.4737,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Quercus laurifolia,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",SLA,143.76181,NA,14.37618,mm2 mg-1,1.4469,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Quercus laurifolia,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",SLA,151.9685,NA,15.19685,mm2 mg-1,1.6302,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Quercus laurifolia,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",SLA,151.29615,NA,15.12962,mm2 mg-1,1.6156,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Quercus laurifolia,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",SLA,145.57026,NA,14.55703,mm2 mg-1,1.4863,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Acer rubrum,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",SLA,119.84713,NA,11.98471,mm2 mg-1,2.8277,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Acer rubrum,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",SLA,129.36585,NA,12.93659,mm2 mg-1,2.5753,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Acer rubrum,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",SLA,121.48568,NA,12.14857,mm2 mg-1,2.7829,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Acer rubrum,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",SLA,175.91151,NA,17.59115,mm2 mg-1,1.5605,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Acer rubrum,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",SLA,191.62358,NA,19.16236,mm2 mg-1,1.2779,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Acer rubrum,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",SLA,178.59907,NA,17.85991,mm2 mg-1,1.5104,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Acer rubrum,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",SLA,129.08061,NA,12.90806,mm2 mg-1,2.5826,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Acer rubrum,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",SLA,138.125,NA,13.8125,mm2 mg-1,2.359,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Acer rubrum,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",SLA,147.72869,NA,14.77287,mm2 mg-1,2.137,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Acer rubrum,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",SLA,115.82329,NA,11.58233,mm2 mg-1,2.9405,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Acer rubrum,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",SLA,122.36313,NA,12.23631,mm2 mg-1,2.7591,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Acer rubrum,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",SLA,111.36286,NA,11.13629,mm2 mg-1,3.0702,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Acer rubrum,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",SLA,102.30723,NA,10.23072,mm2 mg-1,3.3503,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Acer rubrum,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",SLA,102.46449,NA,10.24645,mm2 mg-1,3.3452,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Acer rubrum,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",SLA,140.02399,NA,14.0024,mm2 mg-1,2.3139,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Acer rubrum,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",SLA,162.45421,NA,16.24542,mm2 mg-1,1.8233,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Acer rubrum,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",SLA,216.63965,NA,21.66397,mm2 mg-1,1.2791,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Acer rubrum,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",SLA,131.76306,NA,13.17631,mm2 mg-1,2.5147,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Acer rubrum,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",SLA,140.47019,NA,14.04702,mm2 mg-1,2.3034,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Acer rubrum,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",SLA,147.39454,NA,14.73945,mm2 mg-1,2.1445,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Acer rubrum,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",SLA,142.4039,NA,14.24039,mm2 mg-1,2.2583,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Acer rubrum,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",SLA,162.01022,NA,16.20102,mm2 mg-1,1.8323,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Acer rubrum,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",SLA,188.70201,NA,18.8702,mm2 mg-1,1.3287,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Acer rubrum,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",SLA,165.59441,NA,16.55944,mm2 mg-1,1.76,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
Quercus nigra,3115,"Leaf area per leaf dry mass (specific leaf area, SLA or 1/LMA): petiole excluded",SLA,118.53316,NA,11.85332,mm2 mg-1,0.8097,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature."
